Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Croatia,D,18,FW,Ante Rebić,1993/09/21,24,15,1,Eintracht Frankfurt,1
Croatia,D,19,MF,Milan Badelj,1989/02/25,29,37,1,Fiorentina,1
Croatia,D,20,FW,Marko Pjaca,1995/05/06,23,16,1,Schalke 04,1
Croatia,D,21,DF,Domagoj Vida,1989/04/29,29,58,2,Beşiktaş,1
Croatia,D,22,DF,Josip Pivarić,1989/01/30,29,19,0,Dynamo Kyiv,1
Croatia,D,23,GK,Danijel Subašić,1984/10/27,33,37,0,Monaco,1
Iceland,D,1,GK,Hannes Þór Halldórsson,1984/04/27,34,48,0,Randers,1
Iceland,D,2,DF,Birkir Már Sævarsson,1984/11/11,33,79,1,Valur,1
Iceland,D,3,MF,Samúel Friðjónsson,1996/02/22,22,4,0,Vålerenga,1
Iceland,D,4,MF,Albert Guðmundsson,1997/06/15,20,5,3,PSV Eindhoven,1
Iceland,D,5,DF,Sverrir Ingi Ingason,1993/08/05,24,19,3,Rostov,1
Iceland,D,6,DF,Ragnar Sigurðsson,1986/06/19,31,76,3,Rostov,1
Iceland,D,7,MF,Jóhann Berg Guðmundsson,1990/10/27,27,66,7,Burnley,1
Iceland,D,8,MF,Birkir Bjarnason,1988/05/27,30,66,9,Aston Villa,1
Iceland,D,9,FW,Björn Bergmann Sigurðarson,1991/02/26,27,11,1,Rostov,1
Iceland,D,10,MF,Gylfi Sigurðsson,1989/09/08,28,56,19,Everton,1
Iceland,D,11,FW,Alfreð Finnbogason,1989/02/01,29,46,12,FC Augsburg,1
Iceland,D,12,GK,Frederik Schram,1995/01/19,23,4,0,Roskilde,1
Iceland,D,13,GK,Rúnar Alex Rúnarsson,1995/02/18,23,3,0,Nordsjælland,1
Iceland,D,14,DF,Kári Árnason,1982/10/13,35,66,4,Aberdeen,1
Iceland,D,15,DF,Hólmar Örn Eyjólfsson,1990/08/06,27,9,1,Levski Sofia,1
Iceland,D,16,MF,Ólafur Ingi Skúlason,1983/04/01,35,35,1,Kardemir Karabükspor,1
Iceland,D,17,MF,Aron Gunnarsson (captain),1989/04/22,29,77,2,Cardiff City,1
Iceland,D,18,DF,Hörður Björgvin Magnússon,1993/02/11,25,16,2,Bristol City,1
Iceland,D,19,MF,Rúrik Gíslason,1988/02/25,30,46,3,SV Sandhausen,1
Iceland,D,20,MF,Emil Hallfreðsson,1984/06/29,33,63,1,Udinese,1
Iceland,D,21,MF,Arnór Ingvi Traustason,1993/04/30,25,18,5,Malmö,1
Iceland,D,22,FW,Jón Daði Böðvarsson,1992/05/25,26,37,2,Reading,1
Iceland,D,23,DF,Ari Freyr Skúlason,1987/05/14,31,55,0,Lokeren,1
Nigeria,D,1,GK,Ikechukwu Ezenwa,1988/10/16,29,24,0,Enyimba,1
Nigeria,D,2,DF,Brian Idowu,1992/05/18,26,4,1,Amkar Perm,1
Nigeria,D,3,DF,Elderson Echiéjilé,1988/01/20,30,61,3,Cercle Brugge,1
Nigeria,D,4,MF,Wilfred Ndidi,1996/12/16,21,16,0,Leicester City,1
Nigeria,D,5,DF,William Troost-Ekong,1993/09/01,24,21,1,Bursaspor,1
Nigeria,D,6,DF,Leon Balogun,1988/06/28,29,18,0,Mainz 05,1
Nigeria,D,7,FW,Ahmed Musa,1992/10/14,25,71,13,CSKA Moscow,1
Nigeria,D,8,MF,Oghenekaro Etebo,1995/11/09,22,14,1,Las Palmas,1
Nigeria,D,9,FW,Odion Ighalo,1989/06/16,28,18,4,Changchun Yatai,1
Nigeria,D,10,MF,John Obi Mikel (captain),1987/04/22,31,84,6,Tianjin TEDA,1
Nigeria,D,11,FW,Victor Moses,1990/12/12,27,33,11,Chelsea,1
Nigeria,D,12,DF,Shehu Abdullahi,1993/03/12,25,24,0,Bursaspor,1
Nigeria,D,13,FW,Simeon Nwankwo,1992/05/07,26,1,0,Crotone,1
Nigeria,D,14,FW,Kelechi Iheanacho,1996/03/10,22,17,8,Leicester City,1
Nigeria,D,15,MF,Joel Obi,1991/05/22,27,17,0,Torino,1
Nigeria,D,16,GK,Daniel Akpeyi,1986/03/08,32,7,0,Chippa United,1
Nigeria,D,17,MF,Ogenyi Onazi,1992/12/25,25,52,1,Trabzonspor,1
Nigeria,D,18,FW,Alex Iwobi,1996/05/03,22,18,5,Arsenal,1
Nigeria,D,19,MF,John Ogu,1988/04/20,30,19,2,"Hapoel Be'er Sheva",1
Nigeria,D,20,DF,Chidozie Awaziem,1997/01/01,21,4,0,Nantes,1
Nigeria,D,21,DF,Tyronne Ebuehi,1995/12/16,22,6,0,ADO Den Haag,1
Nigeria,D,22,DF,Kenneth Omeruo,1993/10/17,24,39,0,Kasımpaşa,1
Nigeria,D,23,GK,Francis Uzoho,1998/10/28,19,5,0,Deportivo La Coruña,1
Brazil,E,1,GK,Alisson,1992/10/02,25,25,0,Roma,1
Brazil,E,2,DF,Thiago Silva,1984/09/22,33,70,5,Paris Saint-Germain,1
Brazil,E,3,DF,Miranda,1984/09/07,33,46,2,Inter Milan,1
Brazil,E,4,DF,Pedro Geromel,1985/09/21,32,2,0,Grêmio,1
Brazil,E,5,MF,Casemiro,1992/02/23,26,23,0,Real Madrid,1
Brazil,E,6,DF,Filipe Luís,1985/08/09,32,32,2,Atlético Madrid,1
Brazil,E,7,FW,Douglas Costa,1990/09/14,27,24,3,Juventus,1
Brazil,E,8,MF,Renato Augusto,1988/02/08,30,28,5,Beijing Sinobo Guoan,1
Brazil,E,9,FW,Gabriel Jesus,1997/04/03,21,16,9,Manchester City,1
Brazil,E,10,FW,Neymar,1992/02/05,26,84,54,Paris Saint-Germain,1
Brazil,E,11,MF,Philippe Coutinho,1992/06/12,25,36,9,Barcelona,1
Brazil,E,12,DF,Marcelo,1988/05/12,30,53,6,Real Madrid,1
Brazil,E,13,DF,Marquinhos,1994/05/14,24,25,0,Paris Saint-Germain,1
Brazil,E,14,DF,Danilo,1991/07/15,26,17,0,Manchester City,1
Brazil,E,15,MF,Paulinho,1988/07/25,29,49,12,Barcelona,1
Brazil,E,16,GK,Cássio,1987/06/06,30,1,0,Corinthians,1
Brazil,E,17,MF,Fernandinho,1985/05/04,33,43,2,Manchester City,1
Brazil,E,18,MF,Fred,1993/03/05,25,8,0,Shakhtar Donetsk,1
Brazil,E,19,MF,Willian,1988/08/09,29,56,8,Chelsea,1
Brazil,E,20,FW,Roberto Firmino,1991/10/02,26,20,6,Liverpool,1
Brazil,E,21,FW,Taison,1988/01/13,30,7,1,Shakhtar Donetsk,1
Brazil,E,22,DF,Fagner,1989/06/11,28,4,0,Corinthians,1
Brazil,E,23,GK,Ederson,1993/08/17,24,1,0,Manchester City,1
Costa Rica,E,1,GK,Keylor Navas,1986/12/15,31,79,0,Real Madrid,1
Costa Rica,E,2,DF,Johnny Acosta,1983/07/21,34,68,2,Águilas Doradas,1
Costa Rica,E,3,DF,Giancarlo González,1988/02/08,30,68,2,Bologna,1
Costa Rica,E,4,DF,Ian Smith,1998/03/06,20,2,0,Norrköping,1
Costa Rica,E,5,MF,Celso Borges,1988/05/27,30,111,21,Deportivo La Coruña,1
Costa Rica,E,6,DF,Óscar Duarte,1989/06/03,29,38,2,Espanyol,1
Costa Rica,E,7,MF,Christian Bolaños,1984/05/17,34,79,6,Saprissa,1
Costa Rica,E,8,DF,Bryan Oviedo,1990/02/18,28,42,1,Sunderland,1
Costa Rica,E,9,MF,Daniel Colindres,1985/01/10,33,11,0,Saprissa,1
Costa Rica,E,10,MF,Bryan Ruiz (captain),1985/08/18,32,109,23,Sporting CP,1
Costa Rica,E,11,FW,Johan Venegas,1988/11/27,29,45,10,Saprissa,1
Costa Rica,E,12,FW,Joel Campbell,1992/06/26,25,75,15,Real Betis,1
Costa Rica,E,13,MF,Rodney Wallace,1988/06/17,29,30,4,New York City FC,1
Costa Rica,E,14,MF,Randall Azofeifa,1984/12/30,33,57,3,Herediano,1
Costa Rica,E,15,DF,Francisco Calvo,1992/07/08,25,36,4,Minnesota United,1
Costa Rica,E,16,DF,Cristian Gamboa,1989/10/24,28,66,3,Celtic,1
Costa Rica,E,17,MF,Yeltsin Tejeda,1992/03/17,26,49,0,Lausanne,1
Costa Rica,E,18,GK,Patrick Pemberton,1982/04/24,36,39,0,Alajuelense,1
Costa Rica,E,19,DF,Kendall Waston,1988/01/01,30,25,3,Vancouver Whitecaps FC,1
Costa Rica,E,20,MF,David Guzmán,1990/02/18,28,41,0,Portland Timbers,1
Costa Rica,E,21,FW,Marco Ureña,1990/03/05,28,62,15,Los Angeles FC,1
Costa Rica,E,22,DF,Rónald Matarrita,1994/07/09,23,22,2,New York City FC,1
Costa Rica,E,23,GK,Leonel Moreira,1990/04/02,28,9,0,Herediano,1
Serbia,E,1,GK,Vladimir Stojković,1983/07/28,34,80,0,Partizan,1
Serbia,E,2,DF,Antonio Rukavina,1984/01/26,34,46,0,Villarreal,1
Serbia,E,3,DF,Duško Tošić,1985/01/19,33,23,1,Beşiktaş,1
Serbia,E,4,MF,Luka Milivojević,1991/04/07,27,27,1,Crystal Palace,1
Serbia,E,5,DF,Uroš Spajić,1993/02/13,25,5,0,Anderlecht,1
Serbia,E,6,DF,Branislav Ivanović,1984/02/22,34,102,12,Zenit Saint Petersburg,1
Serbia,E,7,MF,Andrija Živković,1996/07/11,21,10,0,Benfica,1
Serbia,E,8,FW,Aleksandar Prijović,1990/04/21,28,8,1,PAOK,1
Serbia,E,9,FW,Aleksandar Mitrović,1994/09/16,23,36,13,Fulham,1
Serbia,E,10,MF,Dušan Tadić,1988/11/20,29,52,13,Southampton,1
Serbia,E,11,DF,Aleksandar Kolarov (captain),1985/11/10,32,75,10,Roma,1
Serbia,E,12,GK,Predrag Rajković,1995/10/31,22,7,0,Maccabi Tel Aviv,1
Serbia,E,13,DF,Miloš Veljković,1995/09/26,22,2,0,Werder Bremen,1
Serbia,E,14,DF,Milan Rodić,1991/04/02,27,1,0,Red Star Belgrade,1
Serbia,E,15,DF,Nikola Milenković,1997/10/12,20,2,0,Fiorentina,1
Serbia,E,16,MF,Marko Grujić,1996/04/13,22,7,0,Cardiff City,1
Serbia,E,17,MF,Filip Kostić,1992/11/01,25,22,2,Hamburger SV,1
Serbia,E,18,FW,Nemanja Radonjić,1996/02/15,22,2,0,Red Star Belgrade,1
Serbia,E,19,FW,Luka Jović,1997/12/23,20,1,0,Eintracht Frankfurt,1
Serbia,E,20,MF,Sergej Milinković-Savić,1995/02/27,23,3,0,Lazio,1
Serbia,E,21,MF,Nemanja Matić,1988/08/01,29,39,2,Manchester United,1
Serbia,E,22,MF,Adem Ljajić,1991/09/29,26,28,5,Torino,1
Serbia,E,23,GK,Marko Dmitrović,1992/01/24,26,2,0,Eibar,1
Switzerland,E,1,GK,Yann Sommer,1988/12/17,29,35,0,Borussia Mönchengladbach,1
Switzerland,E,2,DF,Stephan Lichtsteiner (captain),1984/01/16,34,99,8,Juventus,1
Switzerland,E,3,DF,François Moubandje,1990/06/21,27,17,0,Toulouse,1
Switzerland,E,4,DF,Nico Elvedi,1996/09/30,21,5,0,Borussia Mönchengladbach,1
Switzerland,E,5,DF,Manuel Akanji,1995/07/19,22,6,0,Borussia Dortmund,1
Switzerland,E,6,DF,Michael Lang,1991/02/08,27,24,2,Basel,1
Switzerland,E,7,FW,Breel Embolo,1997/02/14,21,24,3,Schalke 04,1
Switzerland,E,8,MF,Remo Freuler,1992/04/15,26,9,0,Atalanta,1
Switzerland,E,9,FW,Haris Seferović,1992/02/22,26,50,11,Benfica,1
Switzerland,E,10,MF,Granit Xhaka,1992/09/27,25,61,9,Arsenal,1
Switzerland,E,11,MF,Valon Behrami,1985/04/19,33,78,2,Udinese,1
Switzerland,E,12,GK,Yvon Mvogo,1994/06/06,23,0,0,RB Leipzig,1
Switzerland,E,13,DF,Ricardo Rodríguez,1992/08/25,25,52,4,Milan,1
Switzerland,E,14,MF,Steven Zuber,1991/08/17,26,11,3,1899 Hoffenheim,1
Switzerland,E,15,MF,Blerim Džemaili,1986/04/12,32,64,9,Bologna,1
Switzerland,E,16,MF,Gelson Fernandes,1986/09/02,31,67,2,Eintracht Frankfurt,1
Switzerland,E,17,MF,Denis Zakaria,1996/11/20,21,10,0,Borussia Mönchengladbach,1
Switzerland,E,18,FW,Mario Gavranović,1989/11/24,28,13,5,Dinamo Zagreb,1
Switzerland,E,19,FW,Josip Drmić,1992/08/08,25,28,9,Borussia Mönchengladbach,1
Switzerland,E,20,DF,Johan Djourou,1987/01/18,31,74,2,Antalyaspor,1
Switzerland,E,21,GK,Roman Bürki,1990/11/14,27,8,0,Borussia Dortmund,1
Switzerland,E,22,DF,Fabian Schär,1991/12/20,26,38,7,Deportivo La Coruña,1
Switzerland,E,23,MF,Xherdan Shaqiri,1991/10/10,26,69,20,Stoke City,1
Germany,F,1,GK,Manuel Neuer (captain),1986/03/27,32,75,0,Bayern Munich,1
Germany,F,2,DF,Marvin Plattenhardt,1992/01/26,26,6,0,Hertha BSC,1
Germany,F,3,DF,Jonas Hector,1990/05/27,28,37,3,1. FC Köln,1
Germany,F,4,DF,Matthias Ginter,1994/01/19,24,17,0,Borussia Mönchengladbach,1
Germany,F,5,DF,Mats Hummels,1988/12/16,29,63,5,Bayern Munich,1
Germany,F,6,MF,Sami Khedira,1987/04/04,31,74,7,Juventus,1
Germany,F,7,MF,Julian Draxler,1993/09/20,24,43,6,Paris Saint-Germain,1
Germany,F,8,MF,Toni Kroos,1990/01/04,28,82,12,Real Madrid,1
Germany,F,9,FW,Timo Werner,1996/03/06,22,13,7,RB Leipzig,1
Germany,F,10,MF,Mesut Özil,1988/10/15,29,90,23,Arsenal,1
Germany,F,11,FW,Marco Reus,1989/05/31,29,30,9,Borussia Dortmund,1
Germany,F,12,GK,Kevin Trapp,1990/07/08,27,3,0,Paris Saint-Germain,1
Germany,F,13,MF,Thomas Müller,1989/09/13,28,90,38,Bayern Munich,1
Germany,F,14,MF,Leon Goretzka,1995/02/06,23,15,6,Schalke 04,1
Germany,F,15,DF,Niklas Süle,1995/09/03,22,10,0,Bayern Munich,1
Germany,F,16,DF,Antonio Rüdiger,1993/03/03,25,24,1,Chelsea,1
Germany,F,17,DF,Jérôme Boateng,1988/09/03,29,70,1,Bayern Munich,1
Germany,F,18,DF,Joshua Kimmich,1995/02/08,23,28,3,Bayern Munich,1
Germany,F,19,MF,Sebastian Rudy,1990/02/28,28,25,1,Bayern Munich,1
Germany,F,20,MF,Julian Brandt,1996/05/02,22,15,1,Bayer Leverkusen,1
Germany,F,21,MF,İlkay Gündoğan,1990/10/24,27,25,4,Manchester City,1
Germany,F,22,GK,Marc-André ter Stegen,1992/04/30,26,19,0,Barcelona,1
Germany,F,23,FW,Mario Gómez,1985/07/10,32,74,31,VfB Stuttgart,1
Mexico,F,1,GK,José de Jesús Corona,1981/01/26,37,52,0,Cruz Azul,1
Mexico,F,2,DF,Hugo Ayala,1987/03/31,31,42,1,UANL,1
Mexico,F,3,DF,Carlos Salcedo,1993/09/29,24,20,0,Eintracht Frankfurt,1
Mexico,F,4,DF,Rafael Márquez,1979/02/13,39,144,18,Atlas,1
Mexico,F,5,DF,Diego Reyes,1992/09/19,25,55,1,Porto,1
Mexico,F,6,MF,Jonathan dos Santos,1990/04/26,28,31,0,LA Galaxy,1
Mexico,F,7,MF,Miguel Layún,1988/06/25,29,63,6,Sevilla,1
Mexico,F,8,FW,Marco Fabián,1989/07/21,28,38,9,Eintracht Frankfurt,1
Mexico,F,9,FW,Raúl Jiménez,1991/05/05,27,63,13,Benfica,1
Mexico,F,10,MF,Giovani dos Santos,1989/05/11,29,104,19,LA Galaxy,1
Mexico,F,11,FW,Carlos Vela,1989/03/01,29,68,18,Los Angeles FC,1
Mexico,F,12,GK,Alfredo Talavera,1982/09/18,35,27,0,Toluca,1
Mexico,F,13,GK,Guillermo Ochoa,1985/07/13,32,93,0,Standard Liège,1
Mexico,F,14,FW,Javier Hernández,1988/06/01,30,101,49,West Ham United,1
Mexico,F,15,DF,Héctor Moreno,1988/01/17,30,91,3,Real Sociedad,1
Mexico,F,16,DF,Héctor Herrera,1990/04/19,28,65,5,Porto,1
Mexico,F,17,MF,Jesús Manuel Corona,1993/01/06,25,35,7,Porto,1
Mexico,F,18,MF,Andrés Guardado (captain),1986/09/28,31,144,25,Real Betis,1
Mexico,F,19,FW,Oribe Peralta,1984/01/12,34,66,26,América,1
Mexico,F,20,MF,Javier Aquino,1990/02/11,28,53,0,UANL,1
Mexico,F,21,DF,Edson Álvarez,1997/10/24,20,12,1,América,1
Mexico,F,22,FW,Hirving Lozano,1995/07/30,22,27,7,PSV Eindhoven,1
Mexico,F,23,MF,Jesús Gallardo,1994/08/15,23,22,0,UNAM,1
South Korea,F,1,GK,Kim Seung-gyu,1990/09/30,27,32,0,Vissel Kobe,1
South Korea,F,2,DF,Lee Yong,1986/12/24,31,26,0,Jeonbuk Hyundai Motors,1
South Korea,F,3,DF,Jung Seung-hyun,1994/04/03,24,6,0,Sagan Tosu,1
South Korea,F,4,DF,Oh Ban-suk,1988/05/20,30,2,0,Jeju United,1
South Korea,F,5,DF,Yun Young-sun,1988/10/04,29,5,0,Seongnam FC,1
South Korea,F,6,DF,Park Joo-ho,1987/01/16,31,35,0,Ulsan Hyundai,1
South Korea,F,7,FW,Son Heung-min,1992/07/08,25,65,21,Tottenham Hotspur,1
South Korea,F,8,MF,Ju Se-jong,1990/10/30,27,10,1,Asan Mugunghwa,1
South Korea,F,9,FW,Kim Shin-wook,1988/04/14,30,48,10,Jeonbuk Hyundai Motors,1
South Korea,F,10,MF,Lee Seung-woo,1998/01/06,20,2,0,Hellas Verona,1
South Korea,F,11,FW,Hwang Hee-chan,1996/01/26,22,13,2,Red Bull Salzburg,1
South Korea,F,12,DF,Kim Min-woo,1990/02/25,28,18,1,Sangju Sangmu,1
South Korea,F,13,MF,Koo Ja-cheol,1989/02/27,29,66,19,FC Augsburg,1
South Korea,F,14,DF,Hong Chul,1990/09/17,27,14,0,Sangju Sangmu,1
South Korea,F,15,MF,Jung Woo-young,1989/12/14,28,28,1,Vissel Kobe,1
South Korea,F,16,MF,Ki Sung-yueng (captain),1989/01/24,29,100,10,Swansea City,1
South Korea,F,17,MF,Lee Jae-sung,1992/08/10,25,33,6,Jeonbuk Hyundai Motors,1
South Korea,F,18,MF,Moon Seon-min,1992/06/09,25,2,1,Incheon United,1
South Korea,F,19,DF,Kim Young-gwon,1990/02/27,28,51,2,Guangzhou Evergrande,1
South Korea,F,20,DF,Jang Hyun-soo,1991/09/28,26,49,3,FC Tokyo,1
South Korea,F,21,GK,Kim Jin-hyeon,1987/07/06,30,14,0,Cerezo Osaka,1
South Korea,F,22,DF,Go Yo-han,1988/03/10,30,19,0,FC Seoul,1
South Korea,F,23,GK,Cho Hyun-woo,1991/09/25,26,5,0,Daegu FC,1
Sweden,F,1,GK,Robin Olsen,1990/01/08,28,17,0,Copenhagen,1
Sweden,F,2,DF,Mikael Lustig,1986/12/13,31,65,6,Celtic,1
Sweden,F,3,DF,Victor Lindelöf,1994/07/17,23,20,1,Manchester United,1
Sweden,F,4,DF,Andreas Granqvist (captain),1985/04/16,33,71,6,Krasnodar,1
Sweden,F,5,DF,Martin Olsson,1988/05/17,30,43,5,Swansea City,1
Sweden,F,6,DF,Ludwig Augustinsson,1994/04/21,24,14,0,Werder Bremen,1
Sweden,F,7,MF,Sebastian Larsson,1985/06/06,32,99,6,Hull City,1
Sweden,F,8,MF,Albin Ekdal,1989/07/28,28,33,0,Hamburger SV,1
Sweden,F,9,FW,Marcus Berg,1986/08/17,31,56,18,Al Ain,1
Sweden,F,10,MF,Emil Forsberg,1991/10/23,26,35,6,RB Leipzig,1
Sweden,F,11,FW,John Guidetti,1992/04/15,26,20,1,Alavés,1
Sweden,F,12,GK,Karl-Johan Johnsson,1990/01/28,28,5,0,Guingamp,1
Sweden,F,13,MF,Gustav Svensson,1987/02/07,31,12,0,Seattle Sounders FC,1
Sweden,F,14,DF,Filip Helander,1993/04/22,25,4,0,Bologna,1
Sweden,F,15,MF,Oscar Hiljemark,1992/06/28,25,21,2,Genoa,1
Sweden,F,16,DF,Emil Krafth,1994/08/02,23,12,0,Bologna,1
Sweden,F,17,MF,Viktor Claesson,1992/01/02,26,21,3,Krasnodar,1
Sweden,F,18,DF,Pontus Jansson,1991/02/13,27,15,0,Leeds United,1
Sweden,F,19,MF,Marcus Rohdén,1991/05/11,27,11,1,Crotone,1
Sweden,F,20,FW,Ola Toivonen,1986/07/03,31,58,13,Toulouse,1
Sweden,F,21,MF,Jimmy Durmaz,1989/03/22,29,45,3,Toulouse,1
Sweden,F,22,FW,Isaac Kiese Thelin,1992/06/24,25,19,2,Waasland-Beveren,1
Sweden,F,23,GK,Kristoffer Nordfeldt,1989/06/23,28,8,0,Swansea City,1
Belgium,G,1,GK,Thibaut Courtois,1992/05/11,26,56,0,Chelsea,1
Belgium,G,2,DF,Toby Alderweireld,1989/03/02,29,72,3,Tottenham Hotspur,1
Belgium,G,3,DF,Thomas Vermaelen,1985/11/14,32,64,1,Barcelona,1
Belgium,G,4,DF,Vincent Kompany,1986/04/10,32,74,4,Manchester City,1
Belgium,G,5,DF,Jan Vertonghen,1987/04/24,31,100,8,Tottenham Hotspur,1
Belgium,G,6,MF,Axel Witsel,1989/01/12,29,85,9,Tianjin Quanjian,1
Belgium,G,7,MF,Kevin De Bruyne,1991/06/28,26,57,13,Manchester City,1
Belgium,G,8,MF,Marouane Fellaini,1987/11/22,30,79,16,Manchester United,1
Belgium,G,9,FW,Romelu Lukaku,1993/05/13,25,64,30,Manchester United,1
Belgium,G,10,FW,Eden Hazard (captain),1991/01/07,27,82,21,Chelsea,1
Belgium,G,11,MF,Yannick Carrasco,1993/09/04,24,23,5,Dalian Yifang,1
Belgium,G,12,GK,Simon Mignolet,1988/03/06,30,21,0,Liverpool,1
Belgium,G,13,GK,Koen Casteels,1992/06/25,25,0,0,VfL Wolfsburg,1
Belgium,G,14,FW,Dries Mertens,1987/05/06,31,65,13,Napoli,1
Belgium,G,15,DF,Thomas Meunier,1991/09/12,26,23,5,Paris Saint-Germain,1
Belgium,G,16,MF,Thorgan Hazard,1993/03/29,25,8,1,Borussia Mönchengladbach,1
Belgium,G,17,MF,Youri Tielemans,1997/05/07,21,7,0,Monaco,1
Belgium,G,18,FW,Adnan Januzaj,1995/02/05,23,7,0,Real Sociedad,1
Belgium,G,19,MF,Mousa Dembélé,1987/07/16,30,74,5,Tottenham Hotspur,1
Belgium,G,20,DF,Dedryck Boyata,1990/11/28,27,5,0,Celtic,1
Belgium,G,21,FW,Michy Batshuayi,1993/10/02,24,13,5,Borussia Dortmund,1
Belgium,G,22,MF,Nacer Chadli,1989/08/02,28,41,4,West Bromwich Albion,1
Belgium,G,23,DF,Leander Dendoncker,1995/04/15,23,4,0,Anderlecht,1
England,G,1,GK,Jordan Pickford,1994/03/07,24,3,0,Everton,1
England,G,2,DF,Kyle Walker,1990/05/28,28,35,0,Manchester City,1
England,G,3,DF,Danny Rose,1990/07/02,27,17,0,Tottenham Hotspur,1
England,G,4,MF,Eric Dier,1994/01/15,24,26,3,Tottenham Hotspur,1
England,G,5,DF,John Stones,1994/05/28,24,25,0,Manchester City,1
England,G,6,DF,Harry Maguire,1993/03/05,25,4,0,Leicester City,1
England,G,7,MF,Jesse Lingard,1992/12/15,25,11,1,Manchester United,1
England,G,8,MF,Jordan Henderson,1990/06/17,27,38,0,Liverpool,1
England,G,9,FW,Harry Kane (captain),1993/07/28,24,24,13,Tottenham Hotspur,1
England,G,10,FW,Raheem Sterling,1994/12/08,23,38,2,Manchester City,1
England,G,11,FW,Jamie Vardy,1987/01/11,31,21,7,Leicester City,1
England,G,12,DF,Kieran Trippier,1990/09/19,27,6,0,Tottenham Hotspur,1
England,G,13,GK,Jack Butland,1993/03/10,25,7,0,Stoke City,1
England,G,14,FW,Danny Welbeck,1990/11/26,27,38,15,Arsenal,1
England,G,15,DF,Gary Cahill,1985/12/19,32,59,5,Chelsea,1
England,G,16,DF,Phil Jones,1992/02/21,26,24,0,Manchester United,1
England,G,17,DF,Fabian Delph,1989/11/21,28,10,0,Manchester City,1
England,G,18,DF,Ashley Young,1985/07/09,32,34,7,Manchester United,1
England,G,19,FW,Marcus Rashford,1997/10/31,20,18,2,Manchester United,1
England,G,20,MF,Dele Alli,1996/04/11,22,24,2,Tottenham Hotspur,1
England,G,21,MF,Ruben Loftus-Cheek,1996/01/23,22,3,0,Crystal Palace,1
England,G,22,DF,Trent Alexander-Arnold,1998/10/07,19,0,0,Liverpool,1
England,G,23,GK,Nick Pope,1992/04/19,26,0,0,Burnley,1
Panama,G,1,GK,Jaime Penedo,1981/09/26,36,130,0,Dinamo București,1
Panama,G,2,DF,Michael Amir Murillo,1996/02/11,22,21,2,New York Red Bulls,1
Panama,G,3,DF,Harold Cummings,1992/03/01,26,51,0,San Jose Earthquakes,1
Panama,G,4,DF,Fidel Escobar,1995/01/09,23,22,1,New York Red Bulls,1
Panama,G,5,DF,Román Torres,1986/03/20,32,110,10,Seattle Sounders FC,1
Panama,G,6,MF,Gabriel Gómez,1984/05/29,34,143,12,Atlético Bucaramanga,1
Panama,G,7,FW,Blas Pérez,1981/03/13,37,117,43,Municipal,1
Panama,G,8,MF,Édgar Bárcenas,1993/10/23,24,28,0,Tapachula,1
Panama,G,9,FW,Gabriel Torres,1988/10/31,29,71,14,Huachipato,1
Panama,G,10,FW,Ismael Díaz,1997/05/12,21,10,2,Deportivo Fabril,1
Panama,G,11,MF,Armando Cooper,1987/11/26,30,97,7,Universidad de Chile,1
Panama,G,12,GK,José Calderón,1985/08/14,32,31,0,Chorrillo,1
Panama,G,13,DF,Adolfo Machado,1985/02/14,33,75,1,Houston Dynamo,1
Panama,G,14,MF,Valentín Pimentel,1991/05/30,27,22,1,Plaza Amador,1
Panama,G,15,DF,Erick Davis,1991/03/31,27,37,0,Dunajská Streda,1
Panama,G,16,FW,Abdiel Arroyo,1993/12/13,24,33,5,Alajuelense,1
Panama,G,17,DF,Luis Ovalle,1988/09/07,29,25,0,Olimpia,1
Panama,G,18,FW,Luis Tejada,1982/03/28,36,105,43,Sport Boys,1
Panama,G,19,MF,Alberto Quintero,1987/12/18,30,89,5,Universitario,1
Panama,G,20,MF,Aníbal Godoy,1990/02/10,28,88,2,San Jose Earthquakes,1
Panama,G,21,MF,José Luis Rodríguez,1998/06/19,19,1,0,Gent,1
Panama,G,22,GK,Álex Rodríguez,1990/08/05,27,6,0,San Francisco,1
Panama,G,23,DF,Felipe Baloy (captain),1981/02/24,37,102,3,Municipal,1
Tunisia,G,1,GK,Farouk Ben Mustapha,1989/07/01,28,15,0,Al-Shabab,1
Tunisia,G,2,DF,Syam Ben Youssef,1989/03/31,29,41,1,Kasımpaşa,1
Tunisia,G,3,DF,Yohan Benalouane,1987/03/28,31,3,0,Leicester City,1
Tunisia,G,4,DF,Yassine Meriah,1993/07/02,24,15,1,CS Sfaxien,1
Tunisia,G,5,DF,Oussama Haddadi,1992/01/28,26,8,0,Dijon,1
Tunisia,G,6,DF,Rami Bedoui,1990/01/19,28,8,0,Étoile du Sahel,1
Tunisia,G,7,FW,Saîf-Eddine Khaoui,1995/04/27,23,4,0,Troyes,1
Tunisia,G,8,FW,Fakhreddine Ben Youssef,1991/06/23,26,38,5,Al-Ettifaq,1
Tunisia,G,9,MF,Anice Badri,1990/09/18,27,6,2,Espérance,1
Tunisia,G,10,FW,Wahbi Khazri,1991/02/08,27,35,12,Rennes,1
Tunisia,G,11,DF,Dylan Bronn,1995/06/19,22,4,0,Gent,1
Tunisia,G,12,DF,Ali Maâloul,1990/01/01,28,45,0,Al Ahly,1
